icao,iata,name,city,country,lat,lng,alt
MWCR,GCM,Owen Roberts International Airport,Georgetown,Cayman Islands,19.2928009033,-81.3576965332,8
MYAB,,Clarence A. Bain Airport,Clarence Bain,Bahamas,24.2877006531,-77.6846008301,19
MYAF,ASD,Andros Town Airport,Andros Town,Bahamas,24.6979007721,-77.7956008911,5
MYAM,MHH,Marsh Harbour International Airport,Marsh Harbor,Bahamas,26.5114002228,-77.0835037231,6
MYAN,SAQ,San Andros Airport,San Andros,Bahamas,25.0538005829,-78.0490036011,5
MYAP,AXP,Spring Point Airport,Spring Point,Bahamas,22.4417991638,-73.9709014893,11
MYAS,,Sandy Point Airport,Sandy Point,Bahamas,26.0046005249,-77.3955001831,8
MYAT,TCB,Treasure Cay Airport,Treasure Cay,Bahamas,26.745300293,-77.3912963867,8
MYBC,CCZ,Chub Cay Airport,Chub Cay,Bahamas,25.4171009064,-77.880897522,5
MYBG,,Great Harbour Cay Airport,Bullocks Harbour,Bahamas,25.7383003235,-77.8401031494,18
MYBS,BIM,South Bimini Airport,Alice Town,Bahamas,25.6998996735,-79.2647018433,10
MYEF,GGT,Exuma International Airport,Great Exuma,Bahamas,23.5625991821,-75.8779983521,9
MYEG,,George Town Airport,George Town,Bahamas,23.4666996002,-75.7817001343,5
MYEH,ELH,North Eleuthera Airport,North Eleuthera,Bahamas,25.474899292,-76.6835021973,13
MYEM,GHB,Governor's Harbour Airport,Governor's Harbor,Bahamas,25.2847003937,-76.3310012817,26
MYEN,,Normans Cay Airport,Norman's Cay,Bahamas,24.5942993164,-76.8201980591,8
MYER,RSD,Rock Sound Airport,Rock Sound,Bahamas,24.8950787333,-76.1768817902,10
MYES,,Staniel Cay Airport,Staniel Cay,Bahamas,24.1690998077,-76.4391021729,5
MYGF,FPO,Grand Bahama International Airport,Freeport,Bahamas,26.5587005615,-78.695602417,7
MYIG,IGA,Inagua Airport,Matthew Town,Bahamas,20.9750003815,-73.6669006348,8
MYLD,LGI,Deadman's Cay Airport,Dead Man's Cay,Bahamas,23.1790008545,-75.0935974121,9
MYLS,SML,Stella Maris Airport,Stella Maris,Bahamas,23.5823168043,-75.2686214447,10
MYMM,MYG,Mayaguana Airport,Mayaguana,Bahamas,22.3794994354,-73.0134963989,11
MYNN,NAS,Lynden Pindling International Airport,Nassau,Bahamas,25.0389995575,-77.4662017822,16
MYRD,,Duncan Town Airport,Duncan Town,Bahamas,22.1818008423,-75.7294998169,6
MYRP,,Rum Cay Airport,Port Nelson,Bahamas,23.6844005585,-74.8361968994,15
MYSM,ZSA,San Salvador Airport,Cockburn Town,Bahamas,24.0632991791,-74.5240020752,24
MZBZ,BZE,Philip S. W. Goldson International Airport,Belize City,Belize,17.539100647,-88.3081970215,15
